,DESTPORT,PROTOCOL,SERVICE,INDEX_COLUMN
0,443,UDP,HTTPS,0
1,443,UDP,HTTPS,1
2,80,TCP,HTTP,2
3,80,TCP,HTTP,3
4,443,TCP,HTTPS,4
5,443,TCP,HTTPS,5
6,443,TCP,HTTPS,6
7,443,TCP,HTTPS,7
8,443,TCP,HTTPS,8
9,443,TCP,HTTPS,9
10,80,TCP,HTTP,10
11,80,TCP,HTTP,11
12,80,TCP,HTTP,12
13,80,TCP,HTTP,13
14,443,TCP,HTTPS,14
15,443,TCP,HTTPS,15
16,443,TCP,HTTPS,16
17,443,TCP,HTTPS,17
18,443,TCP,HTTPS,18
19,443,TCP,HTTPS,19
20,443,TCP,HTTPS,20
21,443,TCP,HTTPS,21
22,443,TCP,HTTPS,22
23,443,TCP,HTTPS,23
24,443,TCP,HTTPS,24
25,443,TCP,HTTPS,25
26,443,TCP,HTTPS,26
27,443,TCP,HTTPS,27
28,443,TCP,HTTPS,28
29,443,TCP,HTTPS,29
30,443,TCP,HTTPS,30
31,443,TCP,HTTPS,31
32,443,TCP,HTTPS,32
33,443,TCP,HTTPS,33
34,443,TCP,HTTPS,34
35,443,TCP,HTTPS,35
36,443,TCP,HTTPS,36
37,443,TCP,HTTPS,37
38,443,TCP,HTTPS,38
39,443,TCP,HTTPS,39
40,80,TCP,HTTP,40
41,80,TCP,HTTP,41
42,443,TCP,HTTPS,42
43,443,TCP,HTTPS,43
44,443,TCP,HTTPS,44
45,443,TCP,HTTPS,45
46,443,TCP,HTTPS,46
47,443,TCP,HTTPS,47
48,443,TCP,HTTPS,48
49,443,TCP,HTTPS,49
50,443,TCP,HTTPS,50
51,443,TCP,HTTPS,51
52,443,TCP,HTTPS,52
53,443,TCP,HTTPS,53
54,443,TCP,HTTPS,54
55,443,TCP,HTTPS,55
56,80,TCP,HTTP,56
57,80,TCP,HTTP,57
58,443,TCP,HTTPS,58
59,443,TCP,HTTPS,59
60,443,UDP,HTTPS,60
61,443,UDP,HTTPS,61
62,443,TCP,HTTPS,62
63,443,TCP,HTTPS,63
64,443,UDP,HTTPS,64
65,443,UDP,HTTPS,65
66,80,TCP,HTTP,66
67,80,TCP,HTTP,67
68,443,TCP,HTTPS,68
69,443,TCP,HTTPS,69
70,80,TCP,HTTP,70
71,80,TCP,HTTP,71
72,5060,UDP,SIP,72
73,5060,UDP,SIP,73
74,5060,UDP,SIP,74
75,5060,UDP,SIP,75
76,443,TCP,HTTPS,76
77,443,TCP,HTTPS,77
78,443,TCP,HTTPS,78
79,443,TCP,HTTPS,79
80,80,TCP,HTTP,80
81,80,TCP,HTTP,81
82,443,TCP,HTTPS,82
83,443,TCP,HTTPS,83
84,443,TCP,HTTPS,84
85,443,TCP,HTTPS,85
86,443,UDP,HTTPS,86
87,443,UDP,HTTPS,87
88,5060,UDP,SIP,88
89,5060,UDP,SIP,89
90,443,TCP,HTTPS,90
91,443,TCP,HTTPS,91
92,5060,UDP,SIP,92
93,5060,UDP,SIP,93
94,3128,TCP,HTTP,94
95,443,TCP,HTTPS,95
96,443,TCP,HTTPS,96
97,80,TCP,HTTP,97
98,80,TCP,HTTP,98
99,80,TCP,HTTP,99
100,80,TCP,HTTP,100
101,443,TCP,HTTPS,101
102,443,TCP,HTTPS,102
103,443,TCP,HTTPS,103
104,443,TCP,HTTPS,104
105,443,TCP,HTTPS,105
106,443,TCP,HTTPS,106
107,443,TCP,HTTPS,107
108,80,TCP,HTTP,108
109,80,TCP,HTTP,109
110,53,UDP,DNS,110
111,53,UDP,DNS,111
112,5060,UDP,SIP,112
113,5060,UDP,SIP,113
114,443,TCP,HTTPS,114
115,443,TCP,HTTPS,115
116,80,TCP,HTTP,116
117,80,TCP,HTTP,117
118,443,TCP,HTTPS,118
119,443,TCP,HTTPS,119
120,443,TCP,HTTPS,120
121,443,TCP,HTTPS,121
122,443,TCP,HTTPS,122
123,443,TCP,HTTPS,123
124,443,TCP,HTTPS,124
125,443,TCP,HTTPS,125
126,443,TCP,HTTPS,126
127,443,TCP,HTTPS,127
128,443,TCP,HTTPS,128
129,443,TCP,HTTPS,129
130,5060,UDP,SIP,130
131,5060,UDP,SIP,131
132,443,TCP,HTTPS,132
133,443,TCP,HTTPS,133
134,443,TCP,HTTPS,134
135,443,TCP,HTTPS,135
136,443,TCP,HTTPS,136
137,443,TCP,HTTPS,137
138,443,UDP,HTTPS,138
139,443,UDP,HTTPS,139
140,443,TCP,HTTPS,140
141,443,TCP,HTTPS,141
142,80,TCP,HTTP,142
143,80,TCP,HTTP,143
144,443,TCP,HTTPS,144
145,443,TCP,HTTPS,145
146,443,TCP,HTTPS,146
147,443,TCP,HTTPS,147
148,443,UDP,HTTPS,148
149,443,UDP,HTTPS,149
150,80,TCP,HTTP,150
151,80,TCP,HTTP,151
152,443,TCP,HTTPS,152
153,443,TCP,HTTPS,153
154,443,UDP,HTTPS,154
155,443,UDP,HTTPS,155
156,443,TCP,HTTPS,156
157,443,TCP,HTTPS,157
158,443,TCP,HTTPS,158
159,443,TCP,HTTPS,159
160,443,TCP,HTTPS,160
161,443,TCP,HTTPS,161
162,443,TCP,HTTPS,162
163,443,TCP,HTTPS,163
164,443,TCP,HTTPS,164
165,443,TCP,HTTPS,165
166,80,TCP,HTTP,166
167,80,TCP,HTTP,167
168,80,TCP,HTTP,168
169,80,TCP,HTTP,169
170,443,TCP,HTTPS,170
171,443,TCP,HTTPS,171
172,443,UDP,HTTPS,172
173,443,UDP,HTTPS,173
174,443,TCP,HTTPS,174
175,443,TCP,HTTPS,175
176,443,TCP,HTTPS,176
177,443,TCP,HTTPS,177
178,443,TCP,HTTPS,178
179,443,TCP,HTTPS,179
180,443,UDP,HTTPS,180
181,443,UDP,HTTPS,181
182,443,TCP,HTTPS,182
183,443,TCP,HTTPS,183
184,443,TCP,HTTPS,184
185,443,TCP,HTTPS,185
186,443,TCP,HTTPS,186
187,443,TCP,HTTPS,187
188,443,TCP,HTTPS,188
189,443,TCP,HTTPS,189
190,443,TCP,HTTPS,190
191,443,TCP,HTTPS,191
192,443,UDP,HTTPS,192
193,443,UDP,HTTPS,193
194,443,UDP,HTTPS,194
195,443,UDP,HTTPS,195
196,80,TCP,HTTP,196
197,80,TCP,HTTP,197
198,443,UDP,HTTPS,198
199,443,UDP,HTTPS,199
200,53,UDP,DNS,200
201,443,UDP,HTTPS,201
202,443,UDP,HTTPS,202
