,INDEX_COLUMN,DESTPORT,PROTOCOL,SERVICE
0,0,443,UDP,HTTPS
1,1,443,UDP,HTTPS
2,2,80,TCP,HTTP
3,3,80,TCP,HTTP
4,4,443,TCP,HTTPS
5,5,443,TCP,HTTPS
6,6,443,TCP,HTTPS
7,7,443,TCP,HTTPS
8,8,443,TCP,HTTPS
9,9,443,TCP,HTTPS
10,10,80,TCP,HTTP
11,11,80,TCP,HTTP
12,12,80,TCP,HTTP
13,13,80,TCP,HTTP
14,14,443,TCP,HTTPS
15,15,443,TCP,HTTPS
16,16,443,TCP,HTTPS
17,17,443,TCP,HTTPS
18,18,443,TCP,HTTPS
19,19,443,TCP,HTTPS
20,20,443,TCP,HTTPS
21,21,443,TCP,HTTPS
22,22,443,TCP,HTTPS
23,23,443,TCP,HTTPS
24,24,443,TCP,HTTPS
25,25,443,TCP,HTTPS
26,26,443,TCP,HTTPS
27,27,443,TCP,HTTPS
28,28,443,TCP,HTTPS
29,29,443,TCP,HTTPS
30,30,443,TCP,HTTPS
31,31,443,TCP,HTTPS
32,32,443,TCP,HTTPS
33,33,443,TCP,HTTPS
34,34,443,TCP,HTTPS
35,35,443,TCP,HTTPS
36,36,443,TCP,HTTPS
37,37,443,TCP,HTTPS
38,38,443,TCP,HTTPS
39,39,443,TCP,HTTPS
40,40,80,TCP,HTTP
41,41,80,TCP,HTTP
42,42,443,TCP,HTTPS
43,43,443,TCP,HTTPS
44,44,443,TCP,HTTPS
45,45,443,TCP,HTTPS
46,46,443,TCP,HTTPS
47,47,443,TCP,HTTPS
48,48,443,TCP,HTTPS
49,49,443,TCP,HTTPS
50,50,443,TCP,HTTPS
51,51,443,TCP,HTTPS
52,52,443,TCP,HTTPS
53,53,443,TCP,HTTPS
54,54,443,TCP,HTTPS
55,55,443,TCP,HTTPS
56,56,80,TCP,HTTP
57,57,80,TCP,HTTP
58,58,443,TCP,HTTPS
59,59,443,TCP,HTTPS
60,60,443,UDP,HTTPS
