Unnamed: 0,DESTPORT,PROTOCOL,SERVICE,INDEX_COLUMN
0,21,TCP,FTP,0
1,443,TCP,HTTPS,1
2,80,TCP,HTTP,2
3,443,TCP,HTTPS,3
4,443,TCP,HTTPS,4
5,443,TCP,HTTPS,5
6,443,TCP,HTTPS,6
7,21,TCP,FTP,7
8,80,TCP,HTTP,8
9,5222,TCP,XMPP,9
10,443,TCP,HTTPS,10
11,3128,UDP,XMPP,11
12,443,UDP,HTTPS,12
13,443,TCP,HTTPS,13
14,80,TCP,HTTP,14
15,80,TCP,HTTP,15
16,443,UDP,HTTPS,16
17,443,TCP,HTTPS,17
18,3128,TCP,HTTP,18
19,443,TCP,HTTPS,19
20,443,TCP,HTTPS,20
21,443,TCP,HTTPS,21
22,53,UDP,DNS,22
23,443,TCP,HTTPS,23
24,53,UDP,DNS,24
25,80,TCP,HTTP,25
26,443,UDP,HTTPS,26
27,443,TCP,HTTPS,27
28,443,TCP,HTTPS,28
29,3128,UDP,ZABBIX,29
30,1344,TCP,ICAP,30
31,443,UDP,HTTPS,31
32,53,UDP,DNS,32
33,443,TCP,HTTPS,33
34,80,TCP,HTTP,34
35,443,UDP,HTTPS,35
36,443,UDP,HTTPS,36
37,443,TCP,HTTPS,37
38,3128,TCP,HTTP,38
39,443,TCP,HTTPS,39
40,443,TCP,HTTPS,40
41,80,TCP,HTTP,41
42,443,TCP,HTTPS,42
43,443,TCP,HTTPS,43
44,5222,UDP,SNMP,44
45,443,TCP,HTTPS,45
46,443,TCP,HTTPS,46
47,443,TCP,HTTPS,47
48,53,UDP,DNS,48
49,443,TCP,HTTPS,49
50,443,TCP,HTTPS,50
51,443,TCP,HTTPS,51
52,80,TCP,HTTP,52
53,443,TCP,HTTPS,53
54,443,TCP,HTTPS,54
55,443,TCP,HTTPS,55
56,443,TCP,HTTPS,56
57,80,TCP,HTTP,57
58,443,TCP,HTTPS,58
59,443,TCP,HTTPS,59
60,21,TCP,FTP,60
61,443,TCP,HTTPS,61
62,443,TCP,HTTPS,62
63,443,TCP,HTTPS,63
64,53,UDP,DNS,64
65,443,TCP,HTTPS,65
66,443,TCP,HTTPS,66
67,80,TCP,HTTP,67
68,443,TCP,HTTPS,68
69,443,TCP,HTTPS,69
70,443,TCP,HTTPS,70
71,443,TCP,HTTPS,71
72,80,TCP,HTTP,72
73,21,TCP,FTP,73
74,443,TCP,HTTPS,74
75,443,TCP,HTTPS,75
76,443,TCP,HTTPS,76
77,443,TCP,HTTPS,77
78,21,TCP,FTP,78
79,443,TCP,HTTPS,79
80,443,TCP,HTTPS,80
81,443,TCP,HTTPS,81
82,443,TCP,HTTPS,82
83,53,UDP,DNS,83
84,443,TCP,HTTPS,84
85,443,TCP,HTTPS,85
86,443,TCP,HTTPS,86
87,5222,TCP,XMPP,87
88,443,TCP,HTTPS,88
89,21,TCP,FTP,89
90,443,TCP,HTTPS,90
91,21,TCP,FTP,91
92,443,TCP,HTTPS,92
93,443,TCP,HTTPS,93
94,443,TCP,HTTPS,94
95,443,TCP,HTTPS,95
96,443,TCP,HTTPS,96
97,443,TCP,HTTPS,97
98,443,TCP,HTTPS,98
99,21,TCP,FTP,99
100,443,TCP,HTTPS,100
101,443,TCP,HTTPS,101
102,53,UDP,DNS,102
103,443,TCP,HTTPS,103
104,443,TCP,HTTPS,104
105,443,TCP,HTTPS,105
106,53,UDP,DNS,106
107,443,TCP,HTTPS,107
108,443,TCP,HTTPS,108
109,443,TCP,HTTPS,109
110,443,TCP,HTTPS,110
111,443,TCP,HTTPS,111
112,443,TCP,HTTPS,112
113,5060,UDP,SIP,113
114,443,TCP,HTTPS,114
115,53,UDP,DNS,115
116,443,TCP,HTTPS,116
117,21,TCP,FTP,117
118,443,TCP,HTTPS,118
119,443,TCP,HTTPS,119
120,443,TCP,HTTPS,120
121,53,UDP,DNS,121
122,443,TCP,HTTPS,122
123,443,TCP,HTTPS,123
124,443,TCP,HTTPS,124
125,443,TCP,HTTPS,125
126,5222,TCP,XMPP,126
127,53,UDP,DNS,127
128,80,TCP,HTTP,128
129,53,UDP,DNS,129
130,443,TCP,HTTPS,130
131,3128,TCP,HTTP,131
132,443,TCP,HTTPS,132
133,443,TCP,HTTPS,133
134,443,TCP,HTTPS,134
135,443,UDP,MDS,135
136,21,TCP,FTP,136
