Unnamed: 0,INDEX_COLUMN,DESTPORT,PROTOCOL,SERVICE
0,0,443,TCP,HTTPS
1,1,80,TCP,HTTP
2,2,53,UDP,DNS
3,3,6969,UDP,ACMSODA
4,4,443,TCP,HTTPS
5,5,443,TCP,HTTPS
6,6,443,TCP,HTTPS
7,7,80,TCP,HTTP
8,8,5222,TCP,XMPP
9,9,53,UDP,DNS
10,10,443,TCP,HTTPS
11,11,443,TCP,HTTPS
12,12,443,TCP,HTTPS
13,13,443,UDP,HTTPS
14,14,138,UDP,ZABBIX
15,15,443,TCP,HTTPS
16,16,53,UDP,DNS
17,17,443,TCP,HTTPS
18,18,443,TCP,HTTPS
19,19,443,TCP,HTTPS
20,20,443,TCP,HTTPS
21,21,443,TCP,HTTPS
22,22,443,UDP,HTTPS
23,23,443,TCP,HTTPS
24,24,443,TCP,HTTPS
25,25,161,TCP,DAAPD
26,26,500,UDP,ICAP
27,27,443,TCP,HTTPS
28,28,80,TCP,HTTP
29,29,138,TCP,ACMSODA
30,30,443,TCP,HTTPS
31,31,53,UDP,DNS
32,32,8000,UDP,HPSERVICE
33,33,8000,TCP,ICAP
34,34,53,UDP,DNS
35,35,137,UDP,HTTPS
36,36,53,UDP,VNC
37,37,53,UDP,DNS
38,38,443,TCP,HTTPS
39,39,443,TCP,HTTPS
40,40,5222,TCP,XMPP
41,41,1433,TCP,PGSQL
42,42,443,TCP,HTTPS
43,43,443,TCP,HTTPS
44,44,443,TCP,HTTPS
45,45,443,UDP,HTTPS
46,46,21,TCP,FTP
47,47,53,UDP,DNS
48,48,443,TCP,HTTPS
49,49,443,TCP,HTTPS
50,50,443,TCP,HTTPS
51,51,80,TCP,HTTP
52,52,443,TCP,HTTPS
53,53,443,TCP,HTTPS
54,54,443,TCP,HTTPS
55,55,443,TCP,HTTPS
56,56,443,TCP,HTTPS
57,57,53,UDP,DNS
58,58,443,TCP,HTTPS
59,59,8080,TCP,ZABBIX
60,60,443,TCP,HTTPS
61,61,53,UDP,DNS
62,62,443,TCP,HTTPS
63,63,53,UDP,DNS
64,64,443,TCP,HTTPS
65,65,443,TCP,HTTPS
66,66,80,TCP,HTTP
67,67,443,TCP,HTTPS
68,68,443,TCP,HTTPS
69,69,443,TCP,HTTPS
70,70,22,UDP,IRDMI
71,71,80,TCP,HTTP
72,72,53,TCP,DNS
73,73,443,TCP,HTTPS
74,74,80,TCP,HTTP
75,75,53,UDP,DNS
76,76,3128,TCP,HTTP
77,77,993,UDP,DAAPD
78,78,80,TCP,HTTP
79,79,443,TCP,HTTPS
80,80,443,UDP,HTTPS
81,81,5432,TCP,XMPP
82,82,443,UDP,HTTPS
83,83,443,TCP,HTTPS
84,84,443,TCP,HTTPS
85,85,443,TCP,HTTPS
86,86,443,TCP,HTTPS
87,87,80,TCP,HTTP
88,88,443,TCP,HTTPS
89,89,443,TCP,HTTPS
90,90,443,TCP,HTTPS
91,91,10001,UDP,RDP
92,92,443,TCP,HTTPS
93,93,53,UDP,DNS
