Unnamed: 0,DESTPORT,PROTOCOL,SERVICE,INDEX_COLUMN
0,3689,UDP,SSH,0
1,443,TCP,HTTPS,1
2,53,UDP,DNS,2
3,53,UDP,DNS,3
4,9100,UDP,IRDMI,4
5,443,TCP,HTTPS,5
6,3128,UDP,SNMP,6
7,993,TCP,DNS,7
8,443,TCP,HTTPS,8
9,993,TCP,NETBIOS,9
10,5432,UDP,ACMSODA,10
11,443,TCP,HTTPS,11
12,53,UDP,DNS,12
13,500,UDP,DNS,13
14,3389,TCP,HPSERVICE,14
15,443,TCP,HTTPS,15
16,443,TCP,HTTPS,16
17,80,TCP,HTTP,17
18,80,TCP,HTTP,18
19,5061,UDP,TELNET,19
20,23,TCP,HPSERVICE,20
21,5222,UDP,DNS,21
22,1433,UDP,XMPP,22
23,3389,UDP,SNMP,23
24,443,TCP,HTTPS,24
25,443,TCP,HTTPS,25
26,443,TCP,HTTPS,26
27,443,TCP,SIP,27
28,587,UDP,HTTP,28
29,443,TCP,DNS,29
30,443,TCP,HTTPS,30
31,53,UDP,DNS,31
32,443,TCP,HTTPS,32
33,443,TCP,HTTPS,33
34,137,TCP,MSSQL,34
35,443,TCP,HTTPS,35
36,1344,TCP,TELNET,36
37,161,TCP,DAAPD,37
38,443,TCP,HTTPS,38
39,5432,TCP,ZABBIX,39
40,21,TCP,FTP,40
41,443,TCP,HTTPS,41
42,5061,UDP,PGSQL,42
43,443,TCP,HTTPS,43
44,21,TCP,FTP,44
45,5222,TCP,XMPP,45
46,22,UDP,VNC,46
47,138,TCP,IRDMI,47
48,443,TCP,HTTPS,48
49,443,TCP,HTTPS,49
50,23,UDP,XMPP,50
51,5432,TCP,XMPP,51
52,443,TCP,HTTPS,52
53,443,TCP,HTTPS,53
54,3389,TCP,IRDMI,54
55,443,TCP,HTTPS,55
56,8080,UDP,TELNET,56
57,443,TCP,HTTPS,57
58,3689,UDP,ACMSODA,58
59,443,TCP,HTTPS,59
60,1344,UDP,EMS,60
61,443,TCP,HTTPS,61
62,443,TCP,HTTPS,62
63,9100,TCP,SSH,63
64,500,UDP,TELNET,64
65,3389,UDP,SNMP,65
66,1433,TCP,PGSQL,66
67,1344,TCP,IMAP4,67
68,443,TCP,HTTPS,68
69,161,TCP,IRDMI,69
70,5432,UDP,MSSQL,70
71,53,UDP,DNS,71
72,443,TCP,HTTPS,72
73,80,TCP,HTTP,73
74,443,TCP,HTTPS,74
75,138,TCP,ISAKMP,75
76,443,TCP,HTTPS,76
77,443,TCP,HTTPS,77
78,443,TCP,HTTPS,78
79,3128,UDP,ICAP,79
80,21,TCP,HPSERVICE,80
81,443,TCP,HTTPS,81
82,445,UDP,DNS,82
83,3128,TCP,HTTP,83
84,80,TCP,FTP,84
85,993,UDP,SNMP,85
86,443,TCP,HTTPS,86
87,53,UDP,DNS,87
88,80,TCP,HTTP,88
89,587,UDP,EMS,89
90,500,UDP,DAAPD,90
91,53,TCP,MSSQL,91
92,3689,TCP,ICAP,92
93,22,UDP,PGSQL,93
94,443,TCP,HTTPS,94
95,1433,TCP,MSSQL,95
96,5900,TCP,EMS,96
97,443,TCP,HTTPS,97
98,443,TCP,HTTPS,98
99,443,TCP,HTTPS,99
100,5432,TCP,VNC,100
101,443,TCP,HTTPS,101
102,21,TCP,FTP,102
103,1433,UDP,SSH,103
104,5060,UDP,MDS,104
105,443,TCP,HTTPS,105
106,9100,TCP,FTP,106
107,53,UDP,FTP,107
108,53,UDP,DNS,108
109,3689,UDP,IRDMI,109
110,443,TCP,HTTPS,110
111,5900,TCP,RDP,111
112,21,TCP,FTP,112
113,80,TCP,HTTP,113
114,10001,UDP,DAAPD,114
115,53,UDP,DNS,115
116,3689,TCP,SSH,116
117,80,UDP,HTTP,117
118,587,TCP,ZABBIX,118
119,6969,UDP,RDP,119
120,443,TCP,HTTPS,120
121,5060,UDP,MSSQL,121
122,993,UDP,TELNET,122
123,3689,UDP,HTTP,123
124,6969,UDP,ACMSODA,124
125,443,TCP,HTTPS,125
126,443,TCP,HTTPS,126
127,443,TCP,HTTPS,127
128,443,TCP,UBIQUITY,128
129,21,TCP,FTP,129
130,443,TCP,HTTPS,130
131,21,UDP,XMPP,131
132,993,TCP,IMAP4,132
133,443,TCP,HTTPS,133
134,5900,UDP,ISAKMP,134
135,5900,UDP,EMS,135
136,500,TCP,SSH,136
137,443,TCP,HTTPS,137
138,443,TCP,HTTPS,138
139,10051,TCP,SIP,139
140,5432,TCP,PGSQL,140
141,21,UDP,SIP,141
142,21,TCP,FTP,142
143,53,UDP,DNS,143
144,161,UDP,PGSQL,144
145,443,TCP,HTTPS,145
146,443,TCP,HTTPS,146
147,443,TCP,HTTPS,147
148,443,UDP,FTP,148
149,10001,UDP,PGSQL,149
150,443,TCP,HTTPS,150
151,80,TCP,HTTP,151
152,80,UDP,XMPP,152
153,587,UDP,RDP,153
154,443,TCP,HTTPS,154
155,10001,UDP,PGSQL,155
156,1344,UDP,MDS,156
157,443,UDP,HTTPS,157
158,443,TCP,HTTPS,158
159,23,TCP,HPSERVICE,159
160,5900,TCP,IRDMI,160
161,1344,UDP,DAAPD,161
162,21,TCP,FTP,162
163,5222,TCP,NETBIOS,163
164,5900,UDP,UBIQUITY,164
165,53,UDP,DNS,165
166,8080,UDP,ISAKMP,166
167,443,UDP,HTTPS,167
168,500,TCP,SIP,168
169,443,TCP,HTTPS,169
170,443,TCP,HTTPS,170
171,1433,UDP,ACMSODA,171
172,3128,UDP,ICAP,172
173,443,TCP,HTTPS,173
174,8080,UDP,HTTP,174
175,137,TCP,ISAKMP,175
176,80,TCP,FTP,176
177,587,TCP,ACMSODA,177
178,443,TCP,HTTPS,178
179,443,TCP,HTTPS,179
180,5222,TCP,XMPP,180
181,80,TCP,HTTP,181
182,5222,TCP,XMPP,182
183,443,TCP,HTTPS,183
184,53,UDP,DNS,184
