Unnamed: 0,DESTPORT,PROTOCOL,SERVICE,INDEX_COLUMN
0,443,TCP,HTTPS,0
1,80,TCP,HTTP,1
2,80,TCP,HTTP,2
3,443,TCP,HTTPS,3
4,443,UDP,HTTPS,4
5,53,UDP,DNS,5
6,21,TCP,FTP,6
7,21,TCP,FTP,7
8,443,TCP,HTTPS,8
9,80,TCP,HTTP,9
10,443,TCP,HTTPS,10
11,443,TCP,HTTPS,11
12,443,TCP,HTTPS,12
13,443,TCP,HTTPS,13
14,443,TCP,HTTPS,14
15,443,TCP,HTTPS,15
16,443,TCP,HTTPS,16
17,443,TCP,HTTPS,17
18,443,TCP,HTTPS,18
19,10051,TCP,ZABBIX,19
20,443,TCP,HTTPS,20
21,443,TCP,HTTPS,21
22,3689,TCP,TELNET,22
23,443,TCP,HTTPS,23
24,443,TCP,HTTPS,24
25,443,TCP,HTTPS,25
26,443,TCP,HTTPS,26
27,443,TCP,HTTPS,27
28,443,TCP,HTTPS,28
29,53,UDP,DNS,29
30,53,UDP,DNS,30
31,443,TCP,HTTPS,31
32,137,UDP,RDP,32
33,443,UDP,HTTPS,33
34,443,TCP,HTTPS,34
35,443,TCP,HTTPS,35
36,443,TCP,HTTPS,36
37,443,TCP,HTTPS,37
38,443,TCP,HTTPS,38
39,443,TCP,HTTPS,39
40,21,TCP,FTP,40
41,443,TCP,HTTPS,41
42,443,TCP,HTTPS,42
43,80,TCP,HTTP,43
44,443,TCP,HTTPS,44
45,53,UDP,DNS,45
46,443,TCP,HTTPS,46
47,3128,TCP,HTTP,47
48,443,TCP,HTTPS,48
49,80,TCP,HTTP,49
50,443,TCP,HTTPS,50
51,443,TCP,HTTPS,51
52,443,TCP,HTTPS,52
53,443,TCP,HTTPS,53
54,443,TCP,HTTPS,54
55,443,TCP,HTTPS,55
56,443,TCP,HTTPS,56
57,21,TCP,FTP,57
58,443,TCP,HTTPS,58
59,21,TCP,FTP,59
60,443,TCP,HTTPS,60
61,80,TCP,HTTP,61
62,443,TCP,HTTPS,62
63,80,TCP,HTTP,63
64,443,TCP,HTTPS,64
65,443,TCP,HTTPS,65
66,21,TCP,FTP,66
67,80,TCP,HTTP,67
68,53,UDP,DNS,68
69,443,TCP,HTTPS,69
70,443,TCP,HTTPS,70
71,443,TCP,HTTPS,71
72,443,TCP,HTTPS,72
73,443,TCP,HTTPS,73
74,443,TCP,HTTPS,74
75,80,TCP,HTTP,75
76,5222,TCP,XMPP,76
77,443,TCP,HTTPS,77
78,443,TCP,HTTPS,78
79,443,TCP,HTTPS,79
80,443,TCP,HTTPS,80
81,443,TCP,HTTPS,81
82,443,TCP,HTTPS,82
83,53,UDP,DNS,83
84,443,TCP,HTTPS,84
85,80,TCP,HTTP,85
86,443,TCP,HTTPS,86
87,443,TCP,HTTPS,87
88,161,UDP,SNMP,88
89,161,UDP,SNMP,89
90,443,TCP,HTTPS,90
91,443,TCP,HTTPS,91
92,53,UDP,DNS,92
93,443,TCP,HTTPS,93
94,443,TCP,HTTPS,94
95,53,UDP,DNS,95
96,5222,TCP,XMPP,96
97,443,TCP,HTTPS,97
98,443,TCP,HTTPS,98
99,443,TCP,HTTPS,99
100,443,TCP,HTTPS,100
101,80,TCP,HTTP,101
102,443,TCP,HTTPS,102
103,53,UDP,DNS,103
104,53,UDP,DNS,104
105,443,TCP,HTTPS,105
106,443,TCP,HTTPS,106
107,443,TCP,HTTPS,107
108,53,UDP,DNS,108
109,443,TCP,HTTPS,109
110,80,TCP,HTTP,110
111,443,TCP,HTTPS,111
112,443,TCP,HTTPS,112
113,443,TCP,HTTPS,113
114,443,TCP,HTTPS,114
115,6969,UDP,ACMSODA,115
116,443,TCP,HTTPS,116
117,443,TCP,HTTPS,117
118,443,TCP,HTTPS,118
119,443,TCP,HTTPS,119
120,443,TCP,HTTPS,120
121,443,TCP,HTTPS,121
122,443,TCP,HTTPS,122
123,443,TCP,HTTPS,123
124,80,TCP,HTTP,124
125,443,TCP,HTTPS,125
126,53,UDP,DNS,126
127,443,TCP,HTTPS,127
128,443,TCP,HTTPS,128
129,443,TCP,HTTPS,129
130,443,TCP,HTTPS,130
131,53,UDP,DNS,131
132,443,TCP,HTTPS,132
133,53,UDP,DNS,133
134,80,TCP,HTTP,134
135,443,TCP,HTTPS,135
136,443,TCP,HTTPS,136
137,443,UDP,HTTPS,137
138,21,TCP,FTP,138
139,443,TCP,HTTPS,139
140,53,UDP,DNS,140
141,443,TCP,HTTPS,141
142,80,TCP,HTTP,142
143,443,TCP,HTTPS,143
144,443,TCP,HTTPS,144
145,5060,UDP,SIP,145
146,443,TCP,HTTPS,146
147,443,TCP,HTTPS,147
148,443,TCP,HTTPS,148
149,21,TCP,FTP,149
150,443,TCP,HTTPS,150
151,80,TCP,HTTP,151
152,53,UDP,DNS,152
153,21,TCP,FTP,153
154,53,UDP,DNS,154
155,443,TCP,HTTPS,155
156,53,UDP,DNS,156
157,443,TCP,HTTPS,157
158,443,TCP,HTTPS,158
159,443,TCP,HTTPS,159
160,53,UDP,DNS,160
161,53,UDP,DNS,161
162,443,TCP,HTTPS,162
163,80,TCP,HTTP,163
164,8000,TCP,SIP,164
165,443,UDP,HTTPS,165
166,443,UDP,HTTPS,166
167,5222,TCP,XMPP,167
168,443,TCP,HTTPS,168
169,53,UDP,DNS,169
170,53,UDP,DNS,170
171,443,TCP,HTTPS,171
172,443,TCP,HTTPS,172
173,443,TCP,HTTPS,173
174,5222,TCP,XMPP,174
175,443,TCP,HTTPS,175
176,53,UDP,DNS,176
177,443,TCP,HTTPS,177
178,3389,TCP,SNMP,178
179,443,TCP,HTTPS,179
180,53,UDP,DNS,180
181,21,TCP,FTP,181
182,443,TCP,HTTPS,182
183,53,UDP,DNS,183
184,80,TCP,HTTP,184
185,443,UDP,HTTPS,185
186,443,TCP,HTTPS,186
187,443,TCP,HTTPS,187
188,443,TCP,HTTPS,188
189,5222,TCP,XMPP,189
190,80,TCP,HTTP,190
191,443,TCP,HTTPS,191
192,443,UDP,ZABBIX,192
193,443,TCP,HTTPS,193
194,53,UDP,DNS,194
195,443,TCP,HTTPS,195
196,443,TCP,HTTPS,196
197,443,TCP,HTTPS,197
198,443,UDP,HTTPS,198
199,443,TCP,HTTPS,199
200,443,TCP,HTTPS,200
201,443,TCP,HTTPS,201
202,443,TCP,HTTPS,202
203,443,TCP,HTTPS,203
204,443,TCP,HTTPS,204
205,443,TCP,HTTPS,205
206,443,TCP,HTTPS,206
207,80,TCP,HTTP,207
208,21,TCP,FTP,208
209,443,TCP,HTTPS,209
210,443,TCP,HTTPS,210
211,443,TCP,HTTPS,211
212,443,TCP,HTTPS,212
213,443,TCP,HTTPS,213
214,80,TCP,HTTP,214
215,80,TCP,HTTP,215
216,443,TCP,HTTPS,216
217,443,TCP,HTTPS,217
218,443,TCP,HTTPS,218
219,5432,TCP,MDS,219
220,443,TCP,HTTPS,220
221,443,TCP,HTTPS,221
222,443,TCP,HTTPS,222
223,443,TCP,HTTPS,223
224,443,TCP,HTTPS,224
225,3128,TCP,HTTP,225
226,443,TCP,HTTPS,226
227,443,TCP,HTTPS,227
228,443,TCP,HTTPS,228
229,443,TCP,HTTPS,229
230,21,TCP,FTP,230
231,443,TCP,HTTPS,231
232,443,TCP,HTTPS,232
233,53,UDP,DNS,233
234,443,TCP,HTTPS,234
235,443,TCP,HTTPS,235
236,161,UDP,SNMP,236
237,5900,TCP,PGSQL,237
238,80,TCP,HTTP,238
239,443,TCP,HTTPS,239
240,443,TCP,HTTPS,240
241,443,TCP,HTTPS,241
242,443,TCP,HTTPS,242
243,443,TCP,HTTPS,243
244,443,TCP,HTTPS,244
245,443,TCP,HTTPS,245
246,443,TCP,HTTPS,246
247,443,TCP,HTTPS,247
248,443,TCP,HTTPS,248
249,53,UDP,DNS,249
250,53,UDP,DNS,250
251,443,TCP,HTTPS,251
252,443,TCP,HTTPS,252
253,443,TCP,HTTPS,253
254,443,TCP,HTTPS,254
255,6969,UDP,ACMSODA,255
256,443,TCP,HTTPS,256
257,8080,UDP,NETBIOS,257
258,443,TCP,HTTPS,258
259,53,UDP,DNS,259
260,3128,TCP,HTTP,260
261,443,TCP,HTTPS,261
262,443,TCP,HTTPS,262
263,443,TCP,HTTPS,263
264,21,TCP,FTP,264
265,443,TCP,HTTPS,265
266,443,TCP,HTTPS,266
267,443,UDP,HTTPS,267
268,53,UDP,DNS,268
269,80,TCP,HTTP,269
270,21,TCP,FTP,270
271,53,UDP,DNS,271
272,80,TCP,HTTP,272
273,443,TCP,HTTPS,273
274,443,TCP,HTTPS,274
275,53,TCP,DNS,275
276,8080,TCP,PGSQL,276
277,443,TCP,HTTPS,277
278,443,TCP,HTTPS,278
279,443,TCP,HTTPS,279
280,5222,TCP,XMPP,280
281,53,UDP,DNS,281
282,443,TCP,HTTPS,282
283,21,TCP,FTP,283
284,53,UDP,HTTP,284
285,443,TCP,HTTPS,285
286,53,UDP,DNS,286
287,53,UDP,DNS,287
288,80,TCP,HTTP,288
289,443,TCP,HTTPS,289
290,80,TCP,HTTP,290
291,443,TCP,HTTPS,291
292,443,TCP,HTTPS,292
293,443,TCP,HTTPS,293
294,443,TCP,HTTPS,294
295,80,TCP,HTTP,295
296,443,TCP,HTTPS,296
297,443,TCP,HTTPS,297
298,443,TCP,HTTPS,298
299,443,TCP,HTTPS,299
300,53,UDP,DNS,300
301,443,TCP,HTTPS,301
302,443,TCP,HTTPS,302
303,443,TCP,HTTPS,303
304,443,TCP,HTTPS,304
305,443,TCP,HTTPS,305
306,443,TCP,HTTPS,306
307,53,UDP,DNS,307
308,443,TCP,HTTPS,308
309,443,TCP,HTTPS,309
310,80,TCP,HTTP,310
311,443,TCP,HTTPS,311
312,80,TCP,HTTP,312
313,443,TCP,HTTPS,313
314,443,TCP,HTTPS,314
315,21,TCP,FTP,315
316,443,TCP,HTTPS,316
317,443,TCP,HTTPS,317
318,443,TCP,HTTPS,318
319,10051,TCP,ZABBIX,319
320,53,UDP,DNS,320
321,443,TCP,HTTPS,321
322,53,UDP,DNS,322
323,9100,TCP,HPSERVICE,323
324,443,TCP,HTTPS,324
325,443,TCP,HTTPS,325
326,443,TCP,HTTPS,326
327,21,TCP,FTP,327
328,53,UDP,DNS,328
329,443,TCP,HTTPS,329
330,443,TCP,HTTPS,330
331,80,TCP,HTTP,331
332,53,UDP,DNS,332
333,443,TCP,HTTPS,333
334,443,TCP,HTTPS,334
335,443,TCP,HTTPS,335
336,443,TCP,HTTPS,336
337,443,TCP,HTTPS,337
338,443,TCP,HTTPS,338
339,443,TCP,HTTPS,339
340,443,TCP,HTTPS,340
341,53,UDP,DNS,341
342,21,TCP,FTP,342
343,80,TCP,HTTP,343
344,443,TCP,HTTPS,344
345,443,TCP,HTTPS,345
346,443,TCP,HTTPS,346
347,53,UDP,DNS,347
348,5060,UDP,SIP,348
349,443,TCP,HTTPS,349
350,443,TCP,HTTPS,350
351,80,TCP,HTTP,351
352,587,TCP,XMPP,352
353,443,TCP,HTTPS,353
354,443,TCP,HTTPS,354
355,443,TCP,HTTPS,355
356,443,TCP,HTTPS,356
357,443,TCP,HTTPS,357
358,21,TCP,FTP,358
359,53,UDP,DNS,359
360,53,UDP,DNS,360
361,21,TCP,FTP,361
362,8000,TCP,VNC,362
363,443,UDP,HTTPS,363
364,443,TCP,HTTPS,364
365,443,TCP,HTTPS,365
366,21,TCP,FTP,366
367,443,TCP,HTTPS,367
368,443,TCP,HTTPS,368
369,443,TCP,HTTPS,369
370,80,TCP,HTTP,370
371,21,TCP,PGSQL,371
372,443,TCP,HTTPS,372
373,443,TCP,HTTPS,373
374,443,TCP,HTTPS,374
375,443,TCP,HTTPS,375
376,443,TCP,HTTPS,376
377,21,TCP,FTP,377
378,443,TCP,HTTPS,378
379,443,TCP,HTTPS,379
380,443,TCP,HTTPS,380
381,53,UDP,DNS,381
382,443,TCP,HTTPS,382
383,5060,UDP,SIP,383
384,21,TCP,HTTP,384
385,443,TCP,HTTPS,385
386,53,UDP,DNS,386
387,443,TCP,HTTPS,387
388,443,TCP,HTTPS,388
389,443,TCP,HTTPS,389
390,53,UDP,DNS,390
391,443,TCP,HTTPS,391
392,443,TCP,HTTPS,392
393,443,TCP,HTTPS,393
394,443,TCP,HTTPS,394
395,443,TCP,HTTPS,395
396,80,TCP,HTTP,396
397,443,TCP,HTTPS,397
398,443,TCP,HTTPS,398
399,443,TCP,HTTPS,399
400,443,TCP,HTTPS,400
