DESTPORT;PROTOCOL;SERVICE;SERVICE
0;TCP;Google;18
0;TCP;Unknown;2
0;UDP;Unknown;1
1;TCP;ApplePush;130
1;TCP;Google;1
1;UDP;Google;1
1;UDP;Unknown;213
2;TCP;HTTP;2
2;TCP;Unknown;2
7;UDP;Unknown;1
13;TCP;Unknown;4
21;TCP;FTP_CONTROL;7
22;TCP;SSH;21
25;TCP;SMTP;6
53;TCP;DNS;89
53;TCP;Google;1113
53;UDP;Amazon;3055
53;UDP;AmazonVideo;1383
53;UDP;Apple;964
53;UDP;ApplePush;216
53;UDP;AppleStore;36
53;UDP;AppleiCloud;341
53;UDP;AppleiTunes;122
53;UDP;CNN;4
53;UDP;DNS;166438
53;UDP;DNSoverHTTPS;5
53;UDP;DataSaver;793
53;UDP;Deezer;1
53;UDP;Dropbox;2956
53;UDP;Facebook;6089
53;UDP;GMail;3694
53;UDP;Github;1524
53;UDP;Google;80061
53;UDP;GoogleDocs;837
53;UDP;GoogleDrive;1463
53;UDP;GoogleMaps;87
53;UDP;GooglePlus;111
53;UDP;GoogleServices;13708
53;UDP;HotspotShield;6
53;UDP;Instagram;1631
53;UDP;LinkedIn;599
53;UDP;MSN;2450
53;UDP;MS_OneDrive;300
53;UDP;Messenger;4442
53;UDP;Microsoft;36352
53;UDP;NetFlix;368
53;UDP;Office365;4160
53;UDP;Ookla;83
53;UDP;OpenDNS;7
53;UDP;PlayStore;567
53;UDP;Playstation;79
53;UDP;QQ;139
53;UDP;Skype;2482
53;UDP;SkypeCall;22
53;UDP;Slack;35
53;UDP;Snapchat;5
53;UDP;SoundCloud;26
53;UDP;Spotify;645
53;UDP;Steam;59
53;UDP;Telegram;18
53;UDP;TikTok;69
53;UDP;Twitch;1
53;UDP;Twitter;2247
53;UDP;UbuntuONE;6995
53;UDP;Waze;11
53;UDP;Webex;2
53;UDP;WhatsApp;2180
53;UDP;Wikipedia;407
53;UDP;WindowsUpdate;1519
53;UDP;Xbox;189
53;UDP;Yahoo;1074
53;UDP;YouTube;6066
53;UDP;eBay;89
67;UDP;DHCP;696
68;UDP;DHCP;1
80;TCP;Amazon;2100
80;TCP;AmazonVideo;68
80;TCP;Apple;354
80;TCP;ApplePush;43
80;TCP;AppleStore;9
80;TCP;BitTorrent;48
80;TCP;Cloudflare;1062
80;TCP;DataSaver;261
80;TCP;Deezer;4
80;TCP;Direct_Download_Link;11
80;TCP;Dropbox;31
80;TCP;FTP_DATA;15
80;TCP;Facebook;421
80;TCP;GMail;2
80;TCP;Github;10
80;TCP;Google;4962
80;TCP;GoogleMaps;22
80;TCP;GoogleServices;278
80;TCP;HTTP;53531
80;TCP;Instagram;1
80;TCP;LinkedIn;5
80;TCP;MQTT;3
80;TCP;MSN;1794
80;TCP;MS_OneDrive;45
80;TCP;Microsoft;7954
80;TCP;Mining;1
80;TCP;NetFlix;2
80;TCP;Office365;1475
80;TCP;PS_VUE;172
80;TCP;QQ;76
80;TCP;Skype;109
80;TCP;Spotify;30
80;TCP;Starcraft;668
80;TCP;Steam;40
80;TCP;TLS;51
80;TCP;Telegram;12
80;TCP;TikTok;19
80;TCP;Twitter;43
80;TCP;UbuntuONE;261
80;TCP;WeChat;1
80;TCP;WhatsApp;445
80;TCP;Wikipedia;8
80;TCP;WindowsUpdate;3170
80;TCP;Xbox;28
80;TCP;Yahoo;102
